ladders_taken,snakes_landed,turns,winner
1,5,36,1
2,0,10,1
2,2,12,1
0,1,18,1
2,3,22,1
0,0,16,1
3,0,17,0
0,3,23,0
0,2,22,1
1,0,23,0
0,0,17,0
2,0,11,0
1,1,22,1
2,3,23,0
2,1,17,0
0,0,18,1
1,3,23,0
2,0,15,0
1,3,17,0
0,2,22,1
1,1,15,0
1,1,15,0
2,2,15,0
3,1,17,0
0,2,22,1
1,1,19,0
3,0,12,1
2,0,13,0
1,2,13,0
2,3,26,1
2,1,14,1
1,0,14,1
2,0,11,0
1,0,17,0
2,1,14,1
1,2,22,1
2,4,21,0
2,1,11,0
2,1,17,0
3,0,8,1
0,0,17,0
2,1,24,1
2,2,20,1
2,1,16,1
2,0,7,0
1,2,19,0
1,1,11,0
2,4,19,0
0,0,13,0
1,0,14,1
0,1,19,0
0,3,25,0
0,2,21,0
2,0,19,0
2,2,21,0
1,1,21,0
2,0,10,1
0,1,20,1
1,0,16,1
0,1,21,0
1,0,20,1
2,3,21,0
2,3,25,0
0,2,23,0
2,0,13,0
2,0,15,0
1,6,34,1
1,3,18,1
1,0,17,0
1,2,23,0
0,0,19,0
0,0,18,1
2,0,10,1
0,1,17,0
1,5,25,0
0,1,24,1
0,1,21,0
2,0,12,1
1,5,33,0
4,4,23,0
1,1,14,1
3,1,14,1
1,0,15,0
3,1,16,1
2,1,15,0
2,1,16,1
3,0,11,0
1,1,11,0
3,2,20,1
2,0,13,0
0,0,17,0
2,0,12,1
1,1,14,1
0,2,25,0
0,1,21,0
2,1,15,0
0,2,23,0
2,1,15,0
1,1,16,1
1,1,20,1
0,3,24,1
2,1,12,1
0,1,23,0
2,1,24,1
1,0,12,1
1,1,16,1
3,2,13,0
0,0,17,0
3,1,23,0
2,2,21,0
1,1,17,0
0,1,22,1
1,0,18,1
1,1,10,1
1,2,22,1
2,0,12,1
2,0,18,1
1,0,20,1
0,2,27,0
0,2,21,0
1,1,15,0
2,1,17,0
3,6,32,1
0,3,21,0
1,3,26,1
0,1,22,1
1,0,11,0
1,0,11,0
0,1,20,1
2,1,23,0
1,1,17,0
1,0,14,1
